처리상황단계내용,적용분야내용,개인정보유형내용,코드제목,주제내용,문제상황내용,질문,해결방법내용,결론내용,유사사례내용,faq식별자,최종수정년월일시,조회수,임시
제공,금융 분야,일반정보,채무보증인의 상속인에게 채무자의 개인정보 제공 가능?,채무보증인의 상속인에게 원 채무자의 개인정보 제공 정당성,"A는 직무수행 중 부상을 당해 전역하였으며, 전역 후 사업을 하기위해 국가유공자 신분으로 B를 보증인으로 하여 은행으로부터 유리한 조건으로 대출을 받았습니다. A는 어느 날부터 원리금을 미납하기 시작하여 은행은 전화 및 우편 등을 통해 A에게 연락을 취하였으나 전화번호는 변경되었고, 발송된 우편물은 수신자 미거주로 반송되었습니다. 이후 A의 보증인 B마저 사망하자 은행은 B의 상속인에게 A의 대부원리금 상환을 요구하며 부동산과 예금에 가압류 조치를 할 수 있음을 통보하였습니다. B의 상속인은 대부원리금 상환 요구에 대한 억울함을 호소하며 은행에게 채무자 A의 연락처를 알려달라고 합니다.","상속인의 요청에 따라 은행은 채무자 A의 연락처(변경 전 전화번호, 우편물 반송된 주소 등을 말함)를 상속인에게 제공할 수 있는지요?","개인정보보호법에 따라 개인정보처리자(은행)는 정보주체 또는 제3자의 이익을 부당하게 침해할 우려가 있을 때를 제외하고 정보주체 또는 그 법정대리인이 주소불명 등으로 사전 동의를 받을 수 없는 경우로, 명백히 정보주체 또는 제3자의 급박한 생명, 신체, 재산의 이익을 위하여 필요하다고 인정되는 경우에는 개인정보를 당초 수집 목적 외의 용도로 이용하거나 제3자에게 제공할 수 있습니다.","은행은 이미 상당한 노력을 기울였음에도 불구하고 채무자 A와의 연락이 두절되어 A로부터 사전 동의를 받을 수 없으며, 대부원리금 변제와 관련한 상속인의 급박한 재산상 이익을 위하여 필요하다고 인정되므로 채무자 A의 동의 없이 연락처를 상속인에게 제공할 수 있습니다.","FAQ_0000000000000714,FAQ_0000000000000751",FAQ_0000000000000811,2013-10-14 15:41:27,6003,제공
수집·이용,공공기관,일반정보,행정기관 간의 민원 이관 시 개인정보도 함께 제공된다?,민원을 이관한 행정기관의 민원인의 개인정보 이용,"제가 A지방자치단체에 민원을 제기하면서 이름, 전화번호, 주소 등을 알려주었는데 민원 제기 후 B지방자치단체 민원담당자로부터 전화가 왔습니다. 저는 B지방자치단체에게 민원을 제기한 적이 없고, 연락처를 제공한 적도 없습니다. 어떻게 된 것인지 A지방자치단체에게 문의하니, 민원이 이관되어 저의 개인정보를 B기관에게 제공하였다고 합니다.",A기관은 민원인의 동의 없이 개인정보를 B기관에 제공할 수 있는 건지요?,개인정보 보호법은 개인정보 보호에 관하여 다른 법률에 특별한 규정이 있는 경우 해당 법률이 개인정보 보호법에 우선하여 적용됩니다. 민원사무처리에 관한 법률에 따라 민원을 접수한 행정기관은 접수한 민원이 다른 행정기관의 소관인 경우에는 지체 없이 소관기관으로 이송해야 합니다.,민원사무처리에 관한 법률에 따라 A기관은 접수된 민원이 B기관 소관인 경우 민원인의 동의 없이 소관기관인 B기관으로 민원인의 개인정보를 제공할 수 있습니다.,"FAQ_0000000000000717,FAQ_0000000000000730,FAQ_0000000000000813",FAQ_0000000000000726,2013-10-07 11:45:18,3098,수집·이용
수집·이용,인사업무 분야,인사정보,회사 입사지원자에게도 개인정보를 요구한다?,회사 입사지원자의 개인정보 수집,A회사는 직원 채용을 위하여 입사지원자의 개인정보를 수집하려고 합니다. 개인정보를 수집할 때에는 개인정보보호법 제15조에 따라 정보주체의 동의를 받아야 하는 것으로 알고 있습니다.,기업이 입사지원자의 개인정보를 수집하고자 할 때 개인정보의 수집동의서를 별도로 받아야 하는지요?,"계약 체결 및 이행을 위하여 불가피하게 필요한 경우 동의 없이 개인정보를 수집할 수 있습니다. 입사지원은 고용계약의 사전 단계로 계약 행위의 일부에 해당하므로,  기업 등은 입사지원에 필요한 입사지원자의 개인정보를 수집·이용할 수 있습니다.다만, 고유식별정보(주민등록번호 등) 및 민감정보(종교, 장애여부 등)는 법령의 구체적 근거가 있는 경우 또는 정보주체의 별도의 동의가 있는 경우에만 처리할 수 있습니다. 하지만 「장애인복지법」이나「장애인고용 촉진 및 직업재활법」,「국가유공자 등 예우 및 지원에 관한 법률」등에 따라 국가유공자 또는 장애인을 우선 고용하거나 우대하는 경우, 자격 요건을 확인하기 위하여 장애여부 등의 민감정보를 수집·이용하는 것은 해당 법령에 근거한 것이므로 입사지원자의 별도 동의 없이도 가능합니다.","입사지원은 근로계약 체결의 일부로 입사지원자의 동의 없이 채용에 필요한 최소한의 정보를 수집할 수 있습니다(단, 주민등록번호는 입사 후 수집 가능)","FAQ_0000000000000744,FAQ_0000000000000772,FAQ_0000000000000796,FAQ_0000000000000820",FAQ_0000000000000734,2013-10-11 18:48:49,10609,수집·이용
CCTV,공통분야,영상정보,찜질방 휴게실에는 CCTV 설치가 가능하다?,찜질방 휴게실(마루)에 CCTV를 설치 가능 여부,"대중목욕탕이나 화장실 등에는 CCTV를 설치할 수 없다고 들었습니다. 찜질방 휴게실에 CCTV가 설치되어 있는 것을 발견하고 찜질방 측에 문의하였더니, 도난 등의 사건이 많이 발생하여 예방하기 위해 설치했다고 합니다.",찜질방 휴게실에 CCTV를 설치하는 것은 개인정보 보호법 위반이 아닌가요?,"개인정보 보호법 제25조제2항에 따라 불특정 다수가 이용하는 목욕실, 화장실, 발한실, 탈의실 등 개인의 사생활을 현저히 침해할 우려가 있는 장소에는 그 내부를 볼 수 있도록 영상정보처리기기(CCTV)를 설치·운영할 수 없습니다. 그러나 옷을 입고 휴식을 취하는 찜질방 휴게실(마루)은 개인정보 보호법에서 정하는 ‘개인의 사생활 침해 우려가 큰 장소’로 보기 어렵고 다중이용시설로 범죄예방(물품도난 등) 및 시설안전·화재예방의 필요성이 요구되므로 CCTV를 설치할 수 있습니다. 다만 이 경우에도 최대한 이용객의 사생활 침해가 발생하지 않도록 주의를 기울여야 합니다.",찜질방 휴게실(마루)은 옷을 입고 휴식을 취하는 곳이므로 개인의 사생활을 침해할 우려가 큰 장소로 볼 수 없으므로 범죄예방 목적으로 CCTV를 설치할 수 있습니다.,"FAQ_0000000000000735,FAQ_0000000000000736",FAQ_0000000000000722,2013-10-07 11:47:26,3800,CCTV
수집·이용,인사업무 분야,일반정보,건설회사는 현장직원과 가족의 개인정보를 수집할 수 있다?,회사에서 근로자 본인 및 가족 정보 요구,"건설회사에서 진행하고 있는 공사현장에서 근로자가 부상당하는 등의 응급상황이 종종 발생합니다. 이에 회사는 이러한 응급상황에 대처하기 위하여 신규로 채용된 근로자에게 가족의 성명, 휴대폰번호 제출을 요청하였습니다. 그러나 일부 직원은 회사가 직원가족의 핸드폰번호까지 알아야 할 필요는 없다며 제출을 거부하고 있습니다.",회사가 사고 등의 응급상황에 대처하기 위하여 직원 가족의 성명과 연락처를 수집하는 것이 문제가 되는지요?,"사용자와 근로자가 근로계약을 체결하는 경우 임금지급, 교육, 증명서 발급 및 근로자 복지 제공 등 사용자의 의무 준수를 위해 필요한 범위 내에서는 근로자의 동의 없이 개인정보를 수집할 수 있습니다. 또한 사용자는 가족수당의 지급 등 사용자의 의무를 준수하기 위해 불가피할 경우에 동의 없이 가족의 개인정보를 수집할 수 있습니다. 다만 사용자는 처리목적을 달성하기 위하여 필요한 최소한의 개인정보만을 수집하여야 하며, 수집 목적 이외의 용도로 사용되어서는 안 됩니다.건설회사가 사고 등의 응급상황에 대비하여 직원 가족의 성명과 연락처를 수집하는 것은 건설회사의 정당한 이익과 관련이 있고 근로자와 그 가족의 이익을 위한 것으로서 합리적인 범위를 초과하지 않으므로 개인정보 보호법 제15조제1항제6호에 따라 직원 가족의 동의 없이 수집이 가능한 것으로 판단됩니다.",건설회사가 사고 등의 응급상황에 대비하여 직원 가족의 성명과 연락처를 수집하는 것은 건설회사의 정당한 이익과 관련이 있고 근로자와 그 가족의 이익을 위한 것으로서 합리적인 범위를 초과하지 않으므로 직원 가족의 동의 없이 수집이 가능한 것으로 판단됩니다.,"FAQ_0000000000000734,FAQ_0000000000000772,FAQ_0000000000000796,FAQ_0000000000000820",FAQ_0000000000000744,2013-10-02 10:07:51,3397,수집·이용
CCTV,의료 분야,영상정보,CCTV 촬영 거부하면 진료를 못 받는다?,치과 진료실 내부에 CCTV녹화 가능여부,"개인이 운영하는 E치과는 개원 시부터 환자와의 분쟁에 대비하여 진료실 내부에 CCTV를 설치하여 촬영해 오고 있으며. 환자로부터 CCTV 촬영에 관한 동의서를 받고 있습니다 그런데 E치과 진료실은 개방형으로 한 대의 CCTV를 통해 모든 진료장소가 녹화되고 있어, CCTV 촬영에 동의하는 환자들만 진료하고 있습니다.","진료실 내부 CCTV 촬영에 동의하지 않는 환자의 진료 거부, 법적으로 문제가 없는지요?","일반적으로 병원의 진료실은 진료를 목적으로 하는 환자 또는 보호자가 출입하므로 진료실 내부에 CCTV를 설치하여 개인영상정보를 수집·이용하기 위해서는 개인정보 보호법 제15조에 따라 환자 또는 보호자의 동의를 받아야 합니다. 또한, 개인정보 보호법 제16조에 따라 목적달성을 위해 필요한 최소한의 개인정보를 수집해야 하며, 필요한 최소한의 정보 외에 개인정보 수집에 동의하지 않는다는 이유로 정보주체에게 재화나 서비스의 제공을 거부하여서는 안 됩니다.","분쟁에 대비하여 CCTV로 촬영된 영상정보는 진료에 필요한 최소한의 정보로 볼 수 없으므로, CCTV 촬영에 동의하지 않는다는 이유로 환자의 진료를 거부하는 것은 개인정보 보호법 위반에 해당될 수 있습니다.","FAQ_0000000000000736,FAQ_0000000000000761",FAQ_0000000000000735,2013-10-11 18:50:54,4595,CCTV
수집·이용,공공기관,일반정보,‘세대주’앞으로 발송되는 정책홍보물은 위법행위?,‘세대주’를 수신인으로 정책홍보물 발송,저희 지방자치단체는 주민들을 대상으로 지자체에서 진행하고 있는 사업의 진행현황과 추진 정책 등을 알리기 위하여 정책홍보물을 발송하려고 합니다. 다만 우편물에 수신인의 이름을 기재하지 않고 주소만 기입한 후 받는 사람을 ‘세대주’로 하여 발송하고자 합니다.,수신인을 ‘세대주’로 하여 지자체 주민에게 우편물을 발송하는 것이 개인정보 보호법 위반인가요?,"‘개인정보’란 생존하는 개인에 관한 정보로서 성명·주민등록번호 등에 의하여 특정한 개인을 알아볼 수 있는 부호·문자·음성·음향 및 영상 등의 정보를 말합니다. 또한 여기에는 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합하여 알아볼 수 있는 경우가 포함됩니다. 주소만으로는 개인을 알아보기가 어렵고, 세대주와 같이 불특정인을 수신자로 하여 주소를 이용하는 경우에는 특정 개인을 알아 볼 수 없을 것입니다.",지방자치단체는 해당 지역 주민의 주소만을 수집하여 수신인을 ‘세대주’로 하여 정책홍보물을 발송할 수 있습니다.,"FAQ_0000000000000729,FAQ_0000000000000813",FAQ_0000000000000724,2013-10-07 11:46:42,3076,수집·이용
수집·이용,교육 분야,일반정보,학원 홍보를 위해 수강생의 개인정보 활용?,학원 수강생의 합격 및 수상 내용을 학원홍보에 활용 가능 여부,"초·중·고생을 대상으로 학원을 운영하고 있으며, 학생들에게 동기를 부여하고 학원을 홍보하기 위한 여러 방법을 계획 중에 있습니다. 따라서 내신 성적이 월등하게 향상된 수강생이나 각종 경시대회에서 수상한 수강생의 사진과 이름, 학교 등을 학원 내부나 홈페이지, 현수막 등에 기재하여 특목고나 유명 대학에 합격한 학생들에게 자부심을 주고 다른 수강생들에게는 학습 동기를 부여함과 동시에 학원 홍보에 활용하려고 합니다.","수강생 동기부여 및 학원 홍보를 위하여 수강생의 사진, 이름, 학교 등의 정보를 현수막에 기재해도 되나요?","학원은 수강생들에게 강의를 제공하기 위하여 필요한 경우 수강생의 개인정보를 수집·이용할 수 있으나 이를 학원 홈페이지, 현수막 기재 등을 통한 홍보목적에 활용하는 것은 당초 수집목적외의 용도로 불특정 제3자에게 개인정보를 제공하는 것에 해당합니다따라서. 이러한 경우 해당 수강생이나 법정대리인의 동의를 받아야 합니다","학원수강생의 개인정보를 학원 홈페이지, 현수막 기재 등을 통한 학원 홍보를 위하여 활용하는 것은 당초의 수집·이용 목적 범위를 벗어나는 것이므로 개인정보보호법 제18조제2항에 따라 수강생으로부터 별도의 동의를 받아야 합니다.",,FAQ_0000000000000791,2013-10-11 20:51:55,3850,수집·이용
수집·이용,교육 분야,일반정보,만 14세 미만 학생의 개인정보는 동의 없이 수집가능하다?,만 14세 미만 학생의 개인정보 수집 시 법정대리인 동의 여부,"우리기관은  만 14세 미만 학생을 대상으로 글짓기, 그림 그리기 등 각종 대회를 개최하고 있습니다. 따라서 대회 개최 시, 참가 유의사항 및 대회 결과 등을 알리기 위하여 대회참가자의 개인정보를 수집하고 있습니다.",만 14세 미만의 초등학생을 대상으로 대회 개최 시 참가자의 개인정보를 수집하기 위해서 법정 대리인의 동의를 별도로 받아야 하는지요?,"원칙적으로 개인정보 보호법에 따라 개인정보를 수집·이용하기 위해 동의를 받아야 하는데, 정보주체가 만 14세 미만 아동인 경우에는 법정대리인의 동의를 받아야 합니다. 그러나 대회 개최와 관련하여 필요한 대회참가자의 연락처 등은 계약체결 및 이행을 위하여 필요한 사항으로 개인정보보호법 제15조제1항제4호에 따라 동의를 받지 않아도 될 것입니다. 다만, 대회와 무관한 사항을 안내하거나 홍보하기 위하여 참가자의 개인정보를 이용할 때에는 참가자의 동의를 받아야 하며, 개인정보 보호법 제22조에 따라 14세 미만의 참가자의 경우에는 법정대리인(부모 등)의 동의를 받아야 합니다. 이 경우 법정대리인의 동의를 받기 위해 필요한 최소한의 정보는 법정대리인의 동의 없이 해당 아동으로부터 직접 수집할 수 있습니다.",해당 대회 개최에 필요한 참가 아동의 개인정보를 수집하는 경우 법정대리인의 동의는 필요하지 않습니다.,FAQ_0000000000000791,FAQ_0000000000000738,2013-10-14 17:14:56,4345,수집·이용
제공,교육 분야,민감정보,보건소에 학생의 양호실 이용기록을 제공해도 된다?,아동의 진료기록 제공,"학교에서는 학생이 양호실에서 쉬거나 응급치료 등을 받은 경우 학생의 이름, 학년 및 반, 증상 등을 기록하도록 하고 있습니다. 일반적으로 학생들은 초등학교에 입학하면 한 학교를 6년간 계속하여 다니기 때문에, 양호실 이용 기록을 통해 학생들의 건강 정보가 상당히 누적되게 됩니다.",보건소에서 초등학생의 양호실 이용현황을 파악하려고 한다며 학생의 양호실 이용내역을 요구할 경우 양호실 이용 기록을 제공해도 되는지요?,"개인정보보호법은 특정개인의 건강에 관한 정보는 사생활 침해 우려가 높은 민감정보로 정의하면서 정보주체의 별도의 동의를 받거나, 법령에서 요구 허용하는 경우 이외에는 처리할 수 없도록 하는 등 다른 개인정보를 보다 엄격하게 보호하고 있습니다.특히, 양호실 이용기록에는 학생의 이름, 소속 뿐만 아니라 학생의 건강상태를 알 수 있는 민감정보가 포함되어 있으므로, 학교는 학생의 동의를 받은 후에 양호실 이용기록을 제공하여야 합니다.","학생의 건강관리기록 중 홍역, 결핵 등 법정전염병이 발생한 경우는 감염병의 예방 및 관리에 관한 법률에 따라 동의를 받지 않아도 되나 법령에서 규정하지 않은 건강기록의 경우에는 동의를 받아야 합니다.따라서, 학생의 건강상태를 알 수 있는 양호실 이용기록을 제3자(보건소)에게 제공하기 위해서는 정보주체(학생)가 만14세 미만이므로 법정대리인의 동의를 받아야 합니다","FAQ_0000000000000727,FAQ_0000000000000806,FAQ_0000000000000808,FAQ_0000000000000809",FAQ_0000000000000817,2013-10-02 14:16:49,2734,제공
